2017-11-19 18:35:54:	Starting Log...
2017-11-19 18:35:54:	Started and Callback set for Bot WZQlikCoolBot
2017-11-19 18:35:59:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-19 18:36:05:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-19 18:36:10:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-19 18:36:21:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-19 18:36:26:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-19 18:36:31:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-19 18:36:36:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-19 18:36:41:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-19 18:36:46:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-19 18:36:51:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-19 18:36:56:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-19 18:37:01:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-19 18:37:06:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-19 18:37:11:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-19 18:37:16:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
2017-11-19 18:37:21:	logError	BotOnReceiveError: Telegram.Bot.Args.ReceiveErrorEventArgs
